x,y,temperature
0,0,20
0.02,0,20
0.04,0,20
0.06,0,20
0.08,0,20
0.1,0,20
0.12,0,20
0.14,0,20
0.16,0,20
0.18,0,20
0.2,0,20
0.22,0,20
0.24,0,20
0.26,0,20
0.28,0,20
0.3,0,20
0.32,0,20
0.34,0,20
0.36,0,20
0.38,0,20
0.4,0,20
0.42,0,20
0.44,0,20
0.46,0,20
0.48,0,20
0.5,0,20
0.52,0,20
0.54,0,20
0.56,0,20
0.58,0,20
0.6,0,20
0.62,0,20
0.64,0,20
0.66,0,20
0.68,0,20
0.7,0,20
0.72,0,20
0.74,0,20
0.76,0,20
0.78,0,20
0.8,0,20
0.82,0,20
0.84,0,20
0.86,0,20
0.88,0,20
0.9,0,20
0.92,0,20
0.94,0,20
0.96,0,20
0.98,0,20
1,0,20
0,0.02,20
0.02,0.02,20
0.04,0.02,20
0.06,0.02,20
0.08,0.02,20
0.1,0.02,20
0.12,0.02,20
0.14,0.02,20
0.16,0.02,20
0.18,0.02,20
0.2,0.02,20
0.22,0.02,20
0.24,0.02,20
0.26,0.02,20
0.28,0.02,20
0.3,0.02,20
0.32,0.02,20
0.34,0.02,20
0.36,0.02,20
0.38,0.02,20
0.4,0.02,20
0.42,0.02,20
0.44,0.02,20
0.46,0.02,20
0.48,0.02,20
0.5,0.02,20
0.52,0.02,20
0.54,0.02,20
0.56,0.02,20
0.58,0.02,20
0.6,0.02,20
0.62,0.02,20
0.64,0.02,20
0.66,0.02,20
0.68,0.02,20
0.7,0.02,20
0.72,0.02,20
0.74,0.02,20
0.76,0.02,20
0.78,0.02,20
0.8,0.02,20
0.82,0.02,20
0.84,0.02,20
0.86,0.02,20
0.88,0.02,20
0.9,0.02,20
0.92,0.02,20
0.94,0.02,20
0.96,0.02,20
0.98,0.02,20
1,0.02,20
0,0.04,20
0.02,0.04,20
0.04,0.04,20
0.06,0.04,20
0.08,0.04,20
0.1,0.04,20
0.12,0.04,20
0.14,0.04,20
0.16,0.04,20
0.18,0.04,20
0.2,0.04,20
0.22,0.04,20
0.24,0.04,20
0.26,0.04,20
0.28,0.04,20
0.3,0.04,20
0.32,0.04,20
0.34,0.04,20
